bucket,n,n_channels,median_views,mean_views,median_ch_index,share_2x_channel_median
0-5s,3,1,37251120.0,34552915.666666664,18.557828565194182,1.0
6-8s,5,1,4542847.0,15226402.6,2.2631635189467243,0.6
9-12s,11,4,319595.0,8925102.0,1.9921740627146074,0.45454545454545453
13-20s,58,6,135009.5,2626464.4482758623,0.22053524440441136,0.3275862068965517
21-30s,22,5,689680.0,9909645.772727273,1.0497536121918043,0.2727272727272727
30s+,120,10,844441.0,8550542.25,1.0,0.38333333333333336
