_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
tag_friend,43,200000.0,1920946.7906976745,6000000.0000000065,1.0,43,0.27906976744186046,1.1900647948164147,1.1629683960343955,-0.07860128923411126,43,0.27906976744186046,0.3953488372093023,0.03911522550519861,0.000333125,0.010516089642113481,False
question_engagement,336,258000.0,2412487.836309524,4100000.0,2.947019867549669,335,0.4059701492537313,1.031581311769991,1.054486934846559,0.023124540614087724,335,0.3522388059701492,0.31845238095238093,0.031124850968703426,0.00035757575757575756,0.009085761026867175,False
none,1280,241500.0,2605301.7453125,4410000.000000014,2.5238095238095237,1273,0.3935585231736057,1.0,0.983135790628073,0.025268915729619347,1273,0.3652788688138256,0.353125,0.033860323190672545,0.00030674846625766873,0.0075401329657856335,False
dm,231,127000.0,880654.3160173161,1400000.0,2.1307692307692307,231,0.36796536796536794,0.8311195445920304,0.9290520273849603,-0.029180308198718658,231,0.2987012987012987,0.24675324675324675,0.019954233409610982,0.00037068965517241377,0.013516871528495483,False
follow,100,258000.0,1663754.36,4540000.000000004,2.0272727272727273,99,0.3838383838383838,1.0249251176722294,0.871616453487875,-0.05056856683286036,99,0.35353535353535354,0.29,0.03978640861200183,0.000372234792829856,0.007271441564453212,False
comment_keyword,145,341000.0,1365728.9655172413,2259999.9999999995,2.21,145,0.33793103448275863,1.0,0.8644786641404487,0.02165980755911621,145,0.296551724137931,0.30344827586206896,0.028196296296296296,0.0020281939421338156,0.06438961978322938,False
shop_product,51,148000.0,989481.9803921569,3700000.0,1.0585858585858585,51,0.3333333333333333,0.9660474055092889,0.8243881934033562,-0.18212433304445688,51,0.2549019607843137,0.27450980392156865,0.023556478405315613,0.0003394990057445868,0.012482473550995138,False
link_in_bio,100,213000.0,1756866.81,3630000.0000000023,1.6382978723404256,99,0.30303030303030304,0.9910614077280744,0.8166107142696499,-0.10717503018343595,99,0.32323232323232326,0.32,0.03378082191780822,0.00031536241610738257,0.00911877861799173,False
save_share,102,147000.0,1773488.362745098,3000000.0,1.8326685118853794,102,0.38235294117647056,1.0,0.7500954428841482,-0.07871822749750175,102,0.3431372549019608,0.28431372549019607,0.02481457548215473,0.0003383458646616541,0.01037438036188956,False
