_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
lifestyle_influencer,511,515000.0,2277453.8375733853,4900000.0,3.329433274757081,508,0.44291338582677164,1.338211382113821,1.2400766095256364,0.11745201910860154,508,0.4094488188976378,0.39921722113502933,0.04024322033898305,0.0003750985679747071,0.009411683801651315,False
ai_creator,276,282000.0,3901240.3007246377,5400000.0,3.738759689922481,276,0.4311594202898551,1.0914610573404944,1.0886100287064333,0.08484423717239631,276,0.39855072463768115,0.3695652173913043,0.03183710875654609,0.0004005555555555556,0.009219556111569063,False
other,199,78900.0,2778442.030150754,4240000.000000004,3.29,197,0.4517766497461929,0.8240109140518418,0.9713300430622516,0.06913029813252558,197,0.38578680203045684,0.3015075376884422,0.02824368267117191,0.0004210526315789474,0.014227642276422764,False
contractor_trade,100,188500.0,1724221.43,3170000.0000000144,4.503532860228324,100,0.45,0.7706818642644034,0.9592131752416387,0.031352979578055044,100,0.32,0.27,0.021450877192982457,0.0002784612302143859,0.012948937337216613,False
designer_studio,382,175000.0,1131824.7015706806,2100000.0,2.336577767646835,382,0.3612565445026178,0.8902616848806033,0.883796484312215,-0.018284334263863042,382,0.3219895287958115,0.3036649214659686,0.02061211742660837,0.00023732751337651368,0.01039439001342816,False
real_estate,223,136000.0,1644011.9058295963,2660000.0000000023,2.1588235294117646,223,0.34080717488789236,0.8330206378986866,0.8272137770909082,-0.032154084241475554,223,0.3273542600896861,0.273542600896861,0.03351808510638298,0.00044603142215874313,0.01309074772575993,False
brand_manufacturer,123,139000.0,1828859.3983739838,2339999.9999999977,1.8909090909090909,123,0.34959349593495936,0.7763401109057301,0.8023826470316875,-0.14389373918586623,123,0.2845528455284553,0.2682926829268293,0.013237142857142857,0.0002752058280664466,0.017396371327006846,False
media_publication,66,196000.0,2547598.196969697,5350000.0,0.2865678346810422,66,0.12121212121212122,1.1848527566896445,0.7881459440704024,-0.09536828473591209,66,0.3333333333333333,0.4393939393939394,0.035644730496363894,0.00030362068965517243,0.007702685060272422,False
theme_page,508,214000.0,2056988.18503937,3100000.0,1.4278350515463918,503,0.3260437375745527,0.866789549908778,0.7413600401499206,-0.12264093174868285,503,0.28429423459244535,0.2933070866141732,0.04201680672268908,0.00033182503770739065,0.00693955419301271,False
