_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
0,108,363500.0,6971834.425925926,9389999.999999996,1.997625,16,0.4375,1.2781418092909536,1.3898171677588063,0.1960381217288909,16,0.375,0.42592592592592593,0.039997068185625734,0.00010212765957446809,0.0024,False
51-150,526,300500.0,3154627.1844106466,4850000.0,3.3056666666666668,523,0.4378585086042065,1.0935102586975916,1.0996869148519424,0.02657623567696059,523,0.37476099426386233,0.3574144486692015,0.03670468160377359,0.00028555555555555555,0.007168458781362007,False
1-50,136,425500.0,1719623.7426470588,4600000.0,3.0395480225988702,134,0.40298507462686567,0.9601540725511613,0.9781941376771297,-0.016985808251576542,134,0.3358208955223881,0.34558823529411764,0.04800636942675159,0.000312661023187339,0.005292578496669838,False
151-400,815,215000.0,1743297.099386503,3360000.0000000023,2.2653061224489797,813,0.37884378843788435,0.9985141158989599,0.9246610151387535,0.000993159673030477,813,0.35547355473554737,0.3374233128834356,0.0318137493905412,0.00037442922374429226,0.009883280834126925,False
401-1000,752,184000.0,1690962.069148936,3000000.0,2.041417253521127,750,0.348,0.9557226399331662,0.8771521133969515,-0.010298698445332231,750,0.32133333333333336,0.2992021276595745,0.026732640119736896,0.000369,0.010857539939488091,False
1000+,142,178500.0,1461596.6690140846,4870000.000000002,1.9010416666666665,142,0.3380281690140845,0.809409739943284,0.8697316306547982,-0.05523449212095725,142,0.31690140845070425,0.2887323943661972,0.02317063492063492,0.0004032258064516129,0.016183035714285716,False
