_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
cool,565,247000.0,2554192.8,4100000.0,1.8767045454545455,560,0.36428571428571427,1.0076138485849735,0.9550183071444449,-0.003110320109125571,560,0.33035714285714285,0.32035398230088497,0.04258187473550572,0.00044202898550724636,0.009181969949916527,False
neutral,750,241500.0,1914185.0493333333,3920000.0000000047,2.137191934279313,748,0.37032085561497324,1.0,0.9287673884449617,-0.004861045327407195,748,0.34759358288770054,0.32,0.02570708292096059,0.00035864399389579245,0.011605305097537658,False
warm,1059,216000.0,2051942.59490085,3500000.0,2.7591682255187715,1056,0.39678030303030304,0.9754385964912281,0.9145914371146764,0.0026404177216474323,1056,0.35132575757575757,0.3352219074598678,0.03022235519754507,0.00029289940828402367,0.00828874593035706,False
