_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
Sun,298,272500.0,3090033.9295302015,5330000.000000001,2.9,288,0.4131944444444444,1.0771167579902245,1.1543426926473952,0.07018489618274672,288,0.3715277777777778,0.3691275167785235,0.03298245614035088,0.00034476322885069094,0.00906344410876133,False
Fri,353,294000.0,1917828.0481586403,3700000.0,2.519047619047619,341,0.3870967741935484,1.1536286522148915,1.006854882204286,0.034936329519992225,341,0.35777126099706746,0.3626062322946176,0.03149888888888889,0.0003319125188536953,0.008561313160262774,False
Tue,362,259500.0,2368423.900552486,4080000.000000007,3.044276556776557,340,0.42058823529411765,0.9495495495495496,0.9794260265398541,-0.00041861506533177266,340,0.35294117647058826,0.3011049723756906,0.032278260869565215,0.00032616216216216213,0.009153318077803204,False
Wed,372,220000.0,1366612.3709677418,4190000.0000000033,2.1967774420946626,358,0.3854748603351955,0.9088098134630982,0.9068962743079888,-0.011927819714670156,358,0.3687150837988827,0.34139784946236557,0.031549586776859505,0.0003706519057604539,0.0097856477166822,False
Mon,368,204500.0,1453838.796195652,2760000.0000000023,2.6722972972972974,357,0.38095238095238093,0.9971293983750118,0.8749845971691478,-0.0332401381972491,357,0.33053221288515405,0.296195652173913,0.030744285714285714,0.0003665459994939764,0.009000027108352083,False
Sat,337,233000.0,1877417.6824925817,2980000.000000007,2.087762237762238,326,0.3496932515337423,0.9925373134328358,0.8540557143404681,-0.025164053764539465,326,0.3220858895705521,0.33827893175074186,0.028565325114817502,0.0003379444444444444,0.01054718515098824,False
Thu,389,202000.0,3637077.3341902313,4400000.0,1.9636031035135306,368,0.33967391304347827,0.8977505112474438,0.8459870055420101,-0.020771301693548443,368,0.32065217391304346,0.3213367609254499,0.03120055002763958,0.00035049504950495047,0.010021356990307212,False
