_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
low,38,50450.0,1006818.3684210526,2970000.0000000037,6.61997247706422,38,0.5263157894736842,0.4970366563891744,1.1531356937115151,-0.022250660895644175,38,0.3684210526315789,0.23684210526315788,0.022461814914645103,0.00028857041755130927,0.006463287910462917,False
high,1445,278000.0,2379792.5252595157,3900000.0,2.194189436236968,1440,0.3611111111111111,1.0949152542372882,1.0030725558028788,0.03784592310939272,1440,0.3611111111111111,0.3522491349480969,0.03522656069364162,0.00035934329459509314,0.009167644013859865,False
medium,891,163000.0,1767346.3860830527,3400000.0,2.45482177397071,886,0.40632054176072235,0.8164948453608247,0.8327903207816093,-0.06347874064948335,886,0.3182844243792325,0.2895622895622896,0.024367088607594938,0.0003218049556077725,0.009548611111111112,False
