_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
carousel,1,1200000.0,1200000.0,1200000.0,0.7058823529411765,1,0.0,4.11663807890223,1.5845023803789215,0.1998928959622006,1,0.0,1.0,0.0,,,True
reel,2386,226500.0,2175761.1974015087,3800000.0,2.3076923076923075,2377,0.38157341186369376,0.994878328449484,0.937002762209607,-8.409461336228066e-05,2377,0.3458140513251998,0.32648784576697404,0.03129985373537354,0.0003469387755102041,0.00943939905607534,False
unknown,92,389000.0,3842738.782608696,8880000.000000007,,0,,1.2781418092909536,,,0,,0.45652173913043476,,,,False
