handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
the.tnk.loft,237000.0,2,493000.0,2.080168776371308,1.0,0.0,1.0,0.5,lifestyle_influencer,style,,,0,False,0.429,0.881,0.471,0.0,0.318,0.238,0.452,0.753,0.655,0.4418,156,False
baliinteriordesign,64000.0,2,184700.0,2.8859375,0.5,1.0,1.0,0.0,designer_studio,style,,,0,False,0.502,0.397,0.226,0.0,0.318,0.793,0.172,0.753,0.655,0.4387,157,False
dwanderess,399000.0,2,2074000.0,5.197994987468672,0.5,0.0,1.0,0.0,lifestyle_influencer,location,,,0,False,0.632,0.397,0.789,0.0,0.318,0.238,0.172,0.753,0.655,0.4377,158,True
mike.tokyohousing,89000.0,2,805500.0,9.05056179775281,1.0,0.0,0.5,0.0,real_estate,location,,,0,False,0.716,0.881,0.609,0.0,0.318,0.238,0.172,0.274,0.655,0.4372,159,True
ioscapes,117000.0,2,283000.0,2.4188034188034186,1.0,1.0,0.5,0.0,ai_creator,future_arch;ai,,,0,False,0.452,0.881,0.303,0.0,0.318,0.793,0.172,0.274,0.655,0.437,160,False
modernistgarage,38000.0,2,203050.0,5.343421052631579,0.5,0.0,1.0,1.0,lifestyle_influencer,style,,,0,False,0.64,0.397,0.238,0.0,0.318,0.238,0.701,0.753,0.655,0.437,161,True
scottsdaledesignservices,177000.0,2,538900.0,3.044632768361582,0.5,0.0,1.0,1.0,designer_studio,style,,,0,False,0.506,0.397,0.494,0.0,0.318,0.238,0.701,0.753,0.655,0.4358,162,False
purehotelbyhollywood,10000.0,2,802997.0,80.2997,0.5,0.0,0.5,0.5,other,hotel_resort,,,0,False,0.958,0.397,0.605,0.0,0.318,0.238,0.452,0.274,0.036,0.4336,163,True
pahome_official,440000.0,2,2748300.0,6.246136363636364,0.5,0.0,0.0,1.0,brand_manufacturer,luxury_room,,,0,False,0.667,0.397,0.831,0.0,0.318,0.238,0.701,0.065,0.655,0.433,164,True
luxuriatetouche,4000000.0,2,5900000.0,1.4749999999999999,1.0,1.0,0.0,0.0,theme_page,luxury_home;fantasy_dream,,,0,False,0.345,0.881,0.92,0.0,0.318,0.793,0.172,0.065,0.19,0.433,165,False
