handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
heritageclass,1000000.0,2,304500.0,0.3045,0.5,0.0,1.0,0.0,theme_page,interior_generic,,,0,False,0.13,0.397,0.33,0.0,0.318,0.238,0.172,0.753,0.19,0.2681,243,False
shltr,1000000.0,3,55400.0,0.0554,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,theme_page,style;pool;hotel_resort,,,0,False,0.027,0.073,0.088,0.0,0.718,0.546,0.379,0.412,0.19,0.2638,244,False
itsblankcreative,820000.0,2,360000.0,0.43902439024390244,0.5,0.0,0.5,0.5,theme_page,location;luxury_room,,,0,False,0.149,0.397,0.387,0.0,0.318,0.238,0.452,0.274,0.19,0.2578,245,False
cozyroom_10,188000.0,2,16250.0,0.08643617021276595,0.0,1.0,0.0,0.5,ai_creator,cozy_ambience;future_arch,,,0,False,0.061,0.073,0.023,0.0,0.318,0.793,0.452,0.065,0.655,0.2571,246,False
interiordesign.addicts,1000000.0,2,77900.0,0.0779,0.5,0.5,0.5,0.5,theme_page,style;ai,,,0,False,0.042,0.397,0.119,0.0,0.318,0.51,0.452,0.274,0.19,0.2503,247,False
visitibz,129000.0,2,111700.0,0.8658914728682171,0.5,0.0,0.5,0.0,real_estate,location,,,0,False,0.238,0.397,0.169,0.0,0.318,0.238,0.172,0.274,0.655,0.2489,248,False
theresortscollection,392000.0,3,58100.0,0.14821428571428572,0.3333333333333333,0.0,1.0,0.0,other,hotel_resort,,,0,False,0.092,0.184,0.092,0.0,0.718,0.238,0.172,0.753,0.036,0.2478,249,False
best_vacationrentals,877000.0,2,266750.0,0.3041619156214367,0.5,0.0,0.0,1.0,theme_page,unusual_home,,,0,False,0.126,0.397,0.284,0.0,0.318,0.238,0.701,0.065,0.19,0.2468,250,False
classyibiza,170000.0,2,49050.0,0.28852941176470587,0.5,0.0,0.5,0.5,real_estate,location,,,0,False,0.123,0.397,0.084,0.0,0.318,0.238,0.452,0.274,0.655,0.2454,251,False
nature_cozy_vibe,119000.0,2,24400.0,0.20504201680672268,0.0,1.0,0.5,0.0,theme_page,unusual_home,,,0,False,0.103,0.073,0.038,0.0,0.318,0.793,0.172,0.274,0.19,0.2367,252,False
dimension.xy,811000.0,2,68200.0,0.08409371146732429,0.0,1.0,0.5,0.0,theme_page,luxury_home,,,0,False,0.054,0.073,0.103,0.0,0.318,0.793,0.172,0.274,0.19,0.2332,253,False
themillionaires_mindset,855000.0,2,39700.0,0.0464327485380117,0.0,0.5,1.0,0.0,theme_page,luxury_home;future_arch,,,0,False,0.015,0.073,0.08,0.0,0.318,0.51,0.172,0.753,0.19,0.2286,254,False
isaacfrench_,247000.0,2,218000.0,0.882591093117409,0.0,0.0,0.5,0.0,real_estate,unusual_home,,,0,False,0.245,0.073,0.245,0.0,0.318,0.238,0.172,0.274,0.655,0.2257,255,False
mccleandesign,332000.0,2,32250.0,0.09713855421686747,0.0,0.0,1.0,0.0,designer_studio,location,,,0,False,0.077,0.073,0.069,0.0,0.318,0.238,0.172,0.753,0.655,0.2222,256,False
parametric.architecture,2000000.0,2,147500.0,0.07375,0.5,0.5,0.5,0.0,media_publication,fantasy_dream;ai,,,0,False,0.038,0.397,0.199,0.0,0.318,0.51,0.172,0.274,0.036,0.2219,257,False
amazinghotel.s,551000.0,2,343000.0,0.6225045372050817,0.5,0.0,0.0,0.0,theme_page,location;hotel_resort,,,0,False,0.203,0.397,0.372,0.0,0.318,0.238,0.172,0.065,0.19,0.2181,258,False
mipropertiespk,24000.0,2,11613.5,0.4838958333333333,0.0,0.0,0.0,1.0,real_estate,room_generic;luxury_room,,,0,False,0.157,0.073,0.015,0.0,0.318,0.238,0.701,0.065,0.655,0.217,259,False
swisschaletca,46000.0,2,3287.0,0.07145652173913043,0.0,0.0,1.0,0.0,brand_manufacturer,location,,,0,False,0.034,0.073,0.004,0.0,0.318,0.238,0.172,0.753,0.655,0.2073,260,False
millionaire_homes,421000.0,2,21100.0,0.0501187648456057,0.0,0.0,0.0,0.0,theme_page,luxury_home,,,0,False,0.019,0.073,0.034,0.0,0.318,0.238,0.172,0.065,0.19,0.1152,261,False
