handle,expected_handle,handle_mismatch,display_name,followers_text,followers,posts_text,posts,verified,sample_shortcode,sample_likes,sample_comments,source_url,fetched_at,status
pelteki_interiordesign,pelteki_interiordesign,False,pelteki_interiordesign,12K,12000,498,498,unknown,DVVipnmDecW,10010,62,https://www.instagram.com/reel/DVVipnmDecW/embed/captioned/,2026-09-25,VERIFIED
queeninspireddesigns,queeninspireddesigns,False,queeninspireddesigns,12K followers,12000,989 posts,989,no,DbOHDVWKGCX,7017,71,https://www.instagram.com/reel/DbOHDVWKGCX/embed/captioned/,2026-09-25,VERIFIED
lifestyleproperties_interiors,lifestyleproperties_interiors,False,lifestyleproperties_interiors,12K,12000,513,513,no,DZNaw3pIXDk,141,,https://www.instagram.com/reel/DZNaw3pIXDk/embed/captioned/,2026-09-25,VERIFIED
philkeandesigngroup,philkeandesigngroup,False,philkeandesigngroup,11K,11000,"1,739",1739,unknown,DSGQeRiEvi1,138894,511,https://www.instagram.com/reel/DSGQeRiEvi1/embed/captioned/,2026-09-25,VERIFIED
ravnix23,ravnix23,False,ravnix23,11K followers,11000,634 posts,634,no,DZ-k-9hgR_N,3986,,https://www.instagram.com/reel/DZ-k-9hgR_N/embed/captioned/,2026-09-25,VERIFIED
space_design_fx,space_design_fx,False,space_design_fx,11K,11000,"1,202",1202,no,C5PrBZESAzB,75,,https://www.instagram.com/reel/C5PrBZESAzB/embed/captioned/,2026-09-25,VERIFIED
annagerarealestate,annagerarealestate,False,annagerarealestate,11K,11000,203,203,no,DU9ATC-khfb,,12,https://www.instagram.com/reel/DU9ATC-khfb/embed/captioned/,2026-09-25,VERIFIED
dedi.interior_kotabekasi,dedi.interior_kotabekasi,False,dedi.interior_kotabekasi,10K,10000,421,421,unknown,DbqfmdrSFks,37,,https://www.instagram.com/reel/DbqfmdrSFks/embed/captioned/,2026-09-25,VERIFIED
pebdesign_,pebdesign_,False,pebdesign_,9K,9000,107,107,unknown,DVWXX4YiMzw,257,23,https://www.instagram.com/reel/DVWXX4YiMzw/embed/captioned/,2026-09-25,VERIFIED
eigsticonstruction,eigsticonstruction,False,eigsticonstruction,8K,8000,172,172,unknown,DU9gCl-Du3V,67878,106,https://www.instagram.com/reel/DU9gCl-Du3V/embed/captioned/,2026-09-25,VERIFIED
bhagwan_solanke_18,bhagwan_solanke_18,False,bhagwan_solanke_18,7K followers,7000,290 posts,290,unknown,DcD_4WBNhPs,3727,47,https://www.instagram.com/reel/DcD_4WBNhPs/embed/captioned/,2026-09-25,VERIFIED
the_bbq_store,the_bbq_store,False,the_bbq_store,7K,7000,309,309,no,DIwhkPvP7xC,423,,https://www.instagram.com/reel/DIwhkPvP7xC/embed/captioned/,2026-09-25,VERIFIED
m.a_customcabinets,m.a_customcabinets,False,m.a_customcabinets,7K,7000,45,45,no,DSMqMrlF7gR,187,6,https://www.instagram.com/reel/DSMqMrlF7gR/embed/captioned/,2026-09-25,VERIFIED
the.sustainable.bungalow,the.sustainable.bungalow,False,James Quinn · Journey of Life,7K,7000,547,547,unknown,DM7vWgbq-gL,144,47,https://www.instagram.com/reel/DM7vWgbq-gL/embed/captioned/,2026-09-25,VERIFIED
nightshade.bh,nightshade.bh,False,nightshade.bh,6K followers,6000,85 posts,85,unknown,DSnimZbAPYH,2851,20,https://www.instagram.com/reel/DSnimZbAPYH/embed/captioned/,2026-09-25,VERIFIED
cassandralm,cassandralm,False,cassandralm,6K,6000,434,434,unknown,DX6naSPKDyx,5501,288,https://www.instagram.com/reel/DX6naSPKDyx/embed/captioned/,2026-09-25,VERIFIED
nainitalinterior,nainitalinterior,False,nainitalinterior,6K,6000,301,301,unknown,DFczI6Ihobl,184,,https://www.instagram.com/reel/DFczI6Ihobl/embed/captioned/,2026-09-25,VERIFIED
audiohomeit,audiohomeit,False,audiohomeit,6K,6000,166,166,no,C5ttD-fv_Ve,275,,https://www.instagram.com/reel/C5ttD-fv_Ve/embed/captioned/,2026-09-25,VERIFIED
mauquani__interiors,mauquani__interiors,False,adam.dodson,6K,6000,134,134,unknown,DMh59rioj8w,,22,https://www.instagram.com/reel/DMh59rioj8w/embed/captioned/,2026-09-25,VERIFIED
interioralchemyhq,interioralchemyhq,False,Tazzy · Yasashi,6K,6000,455,455,unknown,DFKXk9YTi0n,66,,https://www.instagram.com/reel/DFKXk9YTi0n/embed/captioned/,2026-09-25,VERIFIED
husnain_g13_properties,husnain_g13_properties,False,husnain_g13_properties,4K,4000,210,210,unknown,DcWTQ_jiSCi,99733,135,https://www.instagram.com/reel/DcWTQ_jiSCi/embed/captioned/,2026-09-25,VERIFIED
mydreamhome_realtors,mydreamhome_realtors,False,mydreamhome_realtors,4K followers,4000,576 posts,576,unknown,DLHdsAETm3P,7213,13,https://www.instagram.com/reel/DLHdsAETm3P/embed/captioned/,2026-09-25,VERIFIED
bellalusso_interiors,bellalusso_interiors,False,bellalusso_interiors,4K,4000,687,687,unknown,DW6IA4YDSwH,576,28,https://www.instagram.com/reel/DW6IA4YDSwH/embed/captioned/,2026-09-25,VERIFIED
linecraft_in,linecraft_in,False,linecraft_in,3K,3000,167,167,unknown,DYoZa32Si3T,63,,https://www.instagram.com/reel/DYoZa32Si3T/embed/captioned/,2026-09-25,VERIFIED
moderninteriordesign___,moderninteriordesign___,False,moderninteriordesign___,3K,3000,114,114,no,CtepYzaAyKH,75,6,https://www.instagram.com/reel/CtepYzaAyKH/embed/captioned/,2026-09-25,VERIFIED
cozinesshomefurniture,cozinesshomefurniture,False,cozinesshomefurniture,3K,3000,722,722,no,DYPX2CKDTDd,11,,https://www.instagram.com/reel/DYPX2CKDTDd/embed/captioned/,2026-09-25,VERIFIED
world_manor,world_manor,False,world_manor,2K,2000,880,880,unknown,DHqj6mTMott,207,,https://www.instagram.com/reel/DHqj6mTMott/embed/captioned/,2026-09-25,VERIFIED
danbcustomclosets,danbcustomclosets,False,danbcustomclosets,2K,2000,84,84,unknown,DLF31imOez9,130,17,https://www.instagram.com/reel/DLF31imOez9/embed/captioned/,2026-09-25,VERIFIED
luxury_lifestylers,luxury_lifestylers,False,luxury_lifestylers,2K,2000,"1,076",1076,unknown,DSjPwbDkxfV,111,,https://www.instagram.com/reel/DSjPwbDkxfV/embed/captioned/,2026-09-25,VERIFIED
the_professional_wood_creator,the_professional_wood_creator,False,the_professional_wood_creator,1K followers,1000,425 posts,425,unknown,DTm-Y5niFvX,2057,,https://www.instagram.com/reel/DTm-Y5niFvX/embed/captioned/,2026-09-25,VERIFIED
amandawayburgess,amandawayburgess,False,amandawayburgess,1K,1000,111,111,unknown,DFWPJSLp0Wt,329,10,https://www.instagram.com/reel/DFWPJSLp0Wt/embed/captioned/,2026-09-25,VERIFIED
tnt_interiors,tnt_interiors,False,tnt_interiors,1K,1000,78,78,unknown,DWtH-I6jVWW,136,,https://www.instagram.com/reel/DWtH-I6jVWW/embed/captioned/,2026-09-25,VERIFIED
kar_modular_kitchen,kar_modular_kitchen,False,kar_modular_kitchen,1K,1000,520,520,no,DKtFQ5UTzyX,46,,https://www.instagram.com/reel/DKtFQ5UTzyX/embed/captioned/,2026-09-25,VERIFIED
kitchenbear9,kitchenbear9,False,kitchenbear9,1K,1000,80,80,no,DcJrOuIsVUM,53,,https://www.instagram.com/reel/DcJrOuIsVUM/embed/captioned/,2026-09-25,VERIFIED
melissavaupel.estates,melissavaupel.estates,False,melissavaupel.estates,806,806,12,12,unknown,DYdGP64y3UN,2269,42,https://www.instagram.com/reel/DYdGP64y3UN/embed/captioned/,2026-09-25,VERIFIED
the.oracle.of.legend,the.oracle.of.legend,False,Joshua Kyan Aalampour · The Hidden Library,595 followers,595,68 posts,68,unknown,DcB2VTZMxeK,36189,46,https://www.instagram.com/reel/DcB2VTZMxeK/embed/captioned/,2026-09-25,VERIFIED
