handle,n_reels_sample,followers,posts,median_views,max_views,sum_views,median_vpf,max_vpf,median_topic_index,median_adj_factor,first_post_seen,last_post_seen,topics,account_kind,production_mode,style_mode,room_mode,realism_mode,language_mode,share_ai_generated,top_reel_url,instagram_url,follower_status,views_status
kellmarcel,1,126000.0,443.0,74900000.0,74900000.0,74900000.0,594.4444444444445,594.4444444444445,53.5,37.16266229434203,2024-07-07T16:10:35.311000+00:00,2024-07-07T16:10:35.311000+00:00,home-decor-ideas,lifestyle_influencer,real_footage,minimalist,living_room,real_existing,en,0.0,https://www.instagram.com/reel/C9ILALrMKjw/,https://www.instagram.com/kellmarcel/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
natural_._scenery,1,,,74100000.0,74100000.0,74100000.0,,,131.9679430097952,,2025-04-06T17:40:39.747000+00:00,2025-04-06T17:40:39.747000+00:00,cozy-rain;rain-cozy,theme_page,real_footage,other,bedroom,real_existing,en,0.0,https://www.instagram.com/reel/DIHSUx1PJ8j/,https://www.instagram.com/natural_._scenery/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
clarazrd,2,297000.0,282.0,36800000.0,72100000.0,73600000.0,123.9057239057239,242.76094276094275,27.4816091954023,18.04413267953991,2024-11-17T17:47:59.527000+00:00,2025-07-21T16:39:27.750000+00:00,luxury-penthouse;penthouse-tour,lifestyle_influencer,real_footage,minimalist,living_room,real_existing,en,0.0,https://www.instagram.com/reel/DMYHlSWuqZK/,https://www.instagram.com/clarazrd/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
syifa_in_switzerland,3,3000000.0,2642.0,6600000.0,71800000.0,78617000.0,12.002833333333333,23.933333333333334,8.997955010224949,33.534863845204924,2025-08-20T08:08:32.598000+00:00,2026-03-16T10:45:56.209000+00:00,swiss-chalet,lifestyle_influencer,real_footage,traditional_regional,garden_landscape,real_existing,en,0.0,https://www.instagram.com/reel/DSzbGfUjOwu/,https://www.instagram.com/syifa_in_switzerland/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
travelwithjaro,1,1000000.0,874.0,66500000.0,66500000.0,66500000.0,66.5,66.5,95.68345323741008,27.743107133350787,2026-04-23T02:16:04.606000+00:00,2026-04-23T02:16:04.606000+00:00,maldives-villa,lifestyle_influencer,real_footage,tropical,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DXdQLKSjlH2/,https://www.instagram.com/travelwithjaro/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
timelessdiaries,1,65000.0,977.0,60700000.0,60700000.0,60700000.0,933.8461538461538,933.8461538461538,113.35200746965452,198.19518388417197,2026-08-11T14:59:38.088000+00:00,2026-08-11T14:59:38.088000+00:00,faroe-islands-luxury-villas,theme_page,real_footage,traditional_regional,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/Db52_4HxXQE/,https://www.instagram.com/timelessdiaries/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
earthfm_net,2,757000.0,208.0,35300000.0,58500000.0,70600000.0,46.63143989431968,77.2787318361955,10.231884057971014,2.743491529818631,2024-05-22T13:46:57.897000+00:00,2024-05-28T12:30:28.086000+00:00,rainy-day,theme_page,unclear,minimalist,bedroom,aspirational_realistic,en,0.0,https://www.instagram.com/reel/C7gyA-OyA7m/,https://www.instagram.com/earthfm_net/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
interiorbyuma22,1,295000.0,455.0,55500000.0,55500000.0,55500000.0,188.135593220339,188.135593220339,70.70063694267516,41.863718258796865,2026-06-11T06:30:38.864000+00:00,2026-06-11T06:30:38.864000+00:00,dream-bedroom-decor-ideas;luxury-interior-design,designer_studio,3d_render,futuristic,bedroom,stylized_dreamy,en,0.0,https://www.instagram.com/reel/DZb4Qkbhr9V/,https://www.instagram.com/interiorbyuma22/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
architectanddesign,2,8400000.0,6771.0,28800000.0,55200000.0,57600000.0,3.592857142857143,6.9,8.664725643896976,1.5199889564665034,2024-08-19T14:00:12.567000+00:00,2026-03-14T10:00:16.772000+00:00,architecture;rooftop-pool,media_publication,real_footage,futuristic,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DV3FgFVjJLx/,https://www.instagram.com/architectanddesign/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
alshifarealtor.dxb,1,47000.0,115.0,54300000.0,54300000.0,54300000.0,1155.3191489361702,1155.3191489361702,170.21943573667713,138.70008649328665,2026-09-12T14:53:50.244000+00:00,2026-09-12T14:53:50.244000+00:00,dubai-villa,real_estate,real_footage,modern_luxury,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DdMPxaloS3f/,https://www.instagram.com/alshifarealtor.dxb/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
swissaround,2,3000000.0,660.0,27300000.0,49200000.0,54600000.0,9.1,16.4,37.218813905930475,25.4246020515738,2022-10-01T12:42:35.973000+00:00,2023-10-28T12:46:35.901000+00:00,swiss-chalet,lifestyle_influencer,real_footage,traditional_regional,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/CjK-ec2DtzZ/,https://www.instagram.com/swissaround/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
gautamsinghania99,1,12000000.0,2067.0,48700000.0,48700000.0,48700000.0,4.058333333333334,4.058333333333334,439.53068592057764,20.085031210616425,2026-03-05T04:11:32.460000+00:00,2026-03-05T04:11:32.460000+00:00,real-estate,real_estate,3d_render,modern_luxury,exterior_facade,aspirational_realistic,en,0.0,https://www.instagram.com/reel/DVfSb-Jkk-a/,https://www.instagram.com/gautamsinghania99/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
soothenests,4,2000000.0,2119.0,6950000.0,45100000.0,61500000.0,3.4749999999999996,22.55,16.436268198698105,3.334233439290731,2024-08-29T10:01:37.317000+00:00,2025-09-18T12:16:00.243000+00:00,ai-cozy-cabin;dream-bedroom;dream-bedrooms;luxury-bedroom,theme_page,ai_generated,biophilic,bedroom,stylized_dreamy,en,1.0,https://www.instagram.com/reel/DBWhf0koR7_/,https://www.instagram.com/soothenests/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
karissa.brighton,2,,,19198000.0,37700000.0,38396000.0,,,24.148427672955975,,2025-01-06T19:58:55.688000+00:00,2025-03-30T21:03:05.598000+00:00,amazon-home-finds,,,,,,,,https://www.instagram.com/reel/DH1n7TSuL-3/,https://www.instagram.com/karissa.brighton/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
longingtocomehome,1,130000.0,174.0,36000000.0,36000000.0,36000000.0,276.9230769230769,276.9230769230769,56.60377358490566,48.072433526165945,2025-02-19T13:26:48.847000+00:00,2025-02-19T13:26:48.847000+00:00,home-library,lifestyle_influencer,real_footage,classical_luxury,other,real_existing,en,0.0,https://www.instagram.com/reel/DGQYtSbOz6S/,https://www.instagram.com/longingtocomehome/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
aiforarchitects,7,1000000.0,513.0,2000000.0,34700000.0,43403000.0,2.0,34.7,4.621676891615542,1.3395491968568207,2024-06-10T17:12:33.527000+00:00,2026-08-20T15:06:44.871000+00:00,dream-home;jamesedition-luxury-homes;los-angeles-house;luxury-mansion;luxury-real-estate-mansion-exterior;luxury-resort;miami-mansion,ai_creator,ai_generated,classical_luxury,exterior_facade,aspirational_realistic,en,1.0,https://www.instagram.com/reel/DHBihXfMPDA/,https://www.instagram.com/aiforarchitects/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
elysian__living,1,1000000.0,587.0,34000000.0,34000000.0,34000000.0,34.0,34.0,9.855072463768115,2.3198599176949455,2026-04-19T22:54:23.784000+00:00,2026-04-19T22:54:23.784000+00:00,rainy-day,lifestyle_influencer,real_footage,organic_modern,living_room,real_existing,en,0.0,https://www.instagram.com/reel/DXVKtYnjXXe/,https://www.instagram.com/elysian__living/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
archstudent.marteen,2,51000.0,51.0,18850000.0,32000000.0,37700000.0,369.6078431372549,627.4509803921569,1.6042553191489362,2.0116634753148643,2025-12-27T18:13:28.040000+00:00,2026-03-24T17:23:43.261000+00:00,architecture,lifestyle_influencer,real_footage,other,other,real_existing,en,0.0,https://www.instagram.com/reel/DSxsu7HiQdV/,https://www.instagram.com/archstudent.marteen/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
nice_tower,2,,,18400000.0,31500000.0,36800000.0,,,1.5659574468085107,,2026-02-05T20:28:24.312000+00:00,2026-03-05T12:02:47.286000+00:00,architecture,,,,,,,,https://www.instagram.com/reel/DVgIXfOiIOq/,https://www.instagram.com/nice_tower/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
pupina,1,159000.0,3061.0,29000000.0,29000000.0,29000000.0,182.38993710691824,182.38993710691824,17.575757575757574,35.607018976676166,2024-01-18T17:26:52.964000+00:00,2024-01-18T17:26:52.964000+00:00,amalfi-coast,lifestyle_influencer,real_footage,mediterranean,exterior_facade,real_existing,other,0.0,https://www.instagram.com/reel/C2P_zWltLff/,https://www.instagram.com/pupina/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
homebyhyla,1,168000.0,94.0,28600000.0,28600000.0,28600000.0,170.23809523809524,170.23809523809524,435.9756097560976,43.571619144791825,2024-02-03T17:45:17.123000+00:00,2024-02-03T17:45:17.123000+00:00,ai-home-design;ai-interior;ai-interior-design;ai-interior-designer,designer_studio,3d_render,organic_modern,living_room,aspirational_realistic,fr,0.0,https://www.instagram.com/reel/C25OoI1IRag/,https://www.instagram.com/homebyhyla/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
north_cascades_haven,2,,,14079000.0,27900000.0,28158000.0,,,69.47393605452041,,2026-02-28T18:17:32.748000+00:00,2026-08-13T17:26:50.026000+00:00,cabin;cozy-cabin-in-the-snow,,,,,,,,https://www.instagram.com/reel/Db_Rbvopxsw/,https://www.instagram.com/north_cascades_haven/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
